vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical,department_prefill,category_prefill,description_prefill,suggestion_prefill,rule_id,needs_llm
Kosmaz Technologies Croatia,195.0,kosmaz technologies croatia,kosmaz technologies croatia,,,,,,True
Dhl,191.0,dhl,dhl,,,,,,True
Hotel Laguna D.D.,190.0,hotel laguna d.d.,hotel laguna,,,,,,True
Bigshare Services Private Limited,188.0,bigshare services private limited,bigshare services private,,,,,,True
Zettanet,183.0,zettanet,zettanet,,,,,,True
Hahn Air,183.0,hahn air,hahn air,,,,,,True
Vitality Works,182.0,vitality works,vitality works,,,,,,True
Avoxi Inc,178.0,avoxi inc,avoxi,,,,,,True
Zapier Inc.,167.0,zapier inc.,zapier,IT,Productivity/Collab,Workflow automation and app integration,Consolidate,R033,False
"Solarwinds, Inc",166.0,"solarwinds, inc",solarwinds,,,,,,True
Xenon Savjetovanje D.O.O.,164.0,xenon savjetovanje d.o.o.,xenon savjetovanje,,,,,,True
Floom Ltd,162.0,floom ltd,floom,,,,,,True
Notino S.R.O.,161.0,notino s.r.o.,notino,,,,,,True
"Paint&Wine, Vl. Stevo Dosen",159.0,"paint&wine, vl. stevo dosen","paint&wine, vl. stevo dosen",,,,,,True
Parcelforce Worldwide,155.0,parcelforce worldwide,parcelforce worldwide,,,,,,True
Advena,154.0,advena,advena,,,,,,True
Hrvatski Nezavisnici Izvoznici Softvera,154.0,hrvatski nezavisnici izvoznici softvera,hrvatski nezavisnici izvoznici softvera,,,,,,True
Monile J.D.O.O.,152.0,monile j.d.o.o.,monile,,,,,,True
Puzzle Promotion J.D.O.O.,143.0,puzzle promotion j.d.o.o.,puzzle promotion,,,,,,True
ZagrebaäKi Holding D.O.O.,143.0,zagreba ki holding d.o.o.,zagreba ki holding,,,,,,True
Event Ors,143.0,event ors,event ors,,,,,,True
Sportkart D.O.O.,141.0,sportkart d.o.o.,sportkart,,,,,,True
"Interaction Design Foundation, Inc",138.0,"interaction design foundation, inc",interaction design foundation,,,,,,True
(Blank),137.0,(blank),,,,,,,True
Escape Art D.O.O.,133.0,escape art d.o.o.,escape art,,,,,,True
Fero-Term,131.0,fero-term,fero-term,,,,,,True
Ustanova Za Zdravstvenu Skrb P.P.,131.0,ustanova za zdravstvenu skrb p.p.,ustanova za zdravstvenu skrb p.p,,,,,,True
Vistaprint,130.0,vistaprint,vistaprint,,,,,,True
Teb Poslovno Savjetovanje D.O.O.,129.0,teb poslovno savjetovanje d.o.o.,teb poslovno savjetovanje,,,,,,True
Illunis D.O.O.,128.0,illunis d.o.o.,illunis,,,,,,True
The Cook Kitchen,123.0,the cook kitchen,the cook kitchen,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
Australian Taxation Office (Ato),123.0,australian taxation office (ato),australian taxation office,,,,,,True
Capitol Services,120.0,capitol services,capitol services,,,,,,True
Bonus Opinio D.O.O.,120.0,bonus opinio d.o.o.,bonus opinio,,,,,,True
Dhl Express (Uk) Ltd,119.0,dhl express (uk) ltd,dhl express,,,,,,True
Kat'S Kitchen D.O.O.,119.0,kat's kitchen d.o.o.,kat's kitchen,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
Soho Kitchen Ltd,104.0,soho kitchen ltd,soho kitchen,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
Fortis Trade J.D.O.O.,95.0,fortis trade j.d.o.o.,fortis trade,,,,,,True
Till Trade D.O.O.,93.0,till trade d.o.o.,till trade,,,,,,True
Pret A Manger,92.0,pret a manger,pret a manger,,,,,,True
Axil Coffee Roasters,89.0,axil coffee roasters,axil coffee roasters,,,,,,True
Pepco Croatia D.O.O.,89.0,pepco croatia d.o.o.,pepco croatia,,,,,,True
Lemia D.O.O.,88.0,lemia d.o.o.,lemia,,,,,,True
Retriever Llc,88.0,retriever llc,retriever,,,,,,True
Meluba Limited,88.0,meluba limited,meluba,,,,,,True
London Waste Management,86.0,london waste management,london waste management,,,,,,True
Hilton Garden Inn - Zagreb City Hotels D.O.O.,82.0,hilton garden inn - zagreb city hotels d.o.o.,hilton garden inn - zagreb city hotels,,,,,,True
Lider Media D.O.O.,80.0,lider media d.o.o.,lider media,,,,,,True
Uptime Robot Service Provider Ltd,78.0,uptime robot service provider ltd,uptime robot service provider,,,,,,True
Mithras Consultants,77.0,mithras consultants,mithras consultants,,,,,,True
6Sense Insights Inc,76.0,6sense insights inc,6sense insights,,,,,,True
Ico,67.0,ico,ico,,,,,,True
Sportska Udruga Split,66.0,sportska udruga split,sportska udruga split,,,,,,True
Prezzee,64.0,prezzee,prezzee,,,,,,True
Inet Telecoms Ltd.,63.0,inet telecoms ltd.,inet telecoms,,,,,,True
Wolt Enterprises Oy,62.0,wolt enterprises oy,wolt enterprises oy,,,,,,True
Platinum Office D.O.O.,62.0,platinum office d.o.o.,platinum office,,,,,,True
Snappy Snaps,59.0,snappy snaps,snappy snaps,,,,,,True
New Block D.O.O.,56.0,new block d.o.o.,new block,,,,,,True
Cayman Islands Government,56.0,cayman islands government,cayman islands government,,,,,,True
Officeworks,56.0,officeworks,officeworks,,,,,,True
Click Send Pty Ltd,55.0,click send pty ltd,click send,,,,,,True
Kall Kwik Centre 565,55.0,kall kwik centre 565,kall kwik centre 565,,,,,,True
Shilton Hospitality Llp,55.0,shilton hospitality llp,shilton hospitality,,,,,,True
Axosoft Gitkraken,54.0,axosoft gitkraken,axosoft gitkraken,,,,,,True
Istra Wine,53.0,istra wine,istra wine,,,,,,True
Gophr,52.0,gophr,gophr,,,,,,True
Pan-Pek D.O.O.,50.0,pan-pek d.o.o.,pan-pek,,,,,,True
Uber *Eats,50.0,uber eats,uber eats,,,,,,True
Fedex Express Uk Transportation Ltd,47.0,fedex express uk transportation ltd,fedex express uk transportation,,,,,,True
Garden City D.O.O.,45.0,garden city d.o.o.,garden city,,,,,,True
Livingstone,41.0,livingstone,livingstone,,,,,,True
Ekupi D.O.O.,40.0,ekupi d.o.o.,ekupi,,,,,,True
Farmacia - Specijalizirana Prodavaonica D.O.O.,36.0,farmacia - specijalizirana prodavaonica d.o.o.,farmacia - specijalizirana prodavaonica,,,,,,True
Cupcake Central (Life Is Sweet Bakery),35.0,cupcake central (life is sweet bakery),cupcake central,,,,,,True
Post Office Ltd,32.0,post office ltd,post office,,,,,,True
Currys Pc World,30.0,currys pc world,currys pc world,,,,,,True
Brodomerkur D.D.,29.0,brodomerkur d.d.,brodomerkur,,,,,,True
Sport Vision D.O.O.,26.0,sport vision d.o.o.,sport vision,,,,,,True
Harissa D.O.O.,21.0,harissa d.o.o.,harissa,,,,,,True
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,20.0,specijalisticka ordinacija medicine rada i sporta ina kardos,specijalisticka ordinacija medicine rada i sporta ina kardos,,,,,,True
Specijalisticka Ordinacija Medicine Rada Helena Blazic,20.0,specijalisticka ordinacija medicine rada helena blazic,specijalisticka ordinacija medicine rada helena blazic,,,,,,True
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,20.0,ustanova za medicinu rada i sporta dr. novacki,ustanova za medicinu rada i sporta dr. novacki,,,,,,True
M&S Simply Food,19.0,m&s simply food,m&s simply food,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
Bakemono Bakers Melbourne,18.0,bakemono bakers melbourne,bakemono bakers melbourne,,,,,,True
Coles,18.0,coles,coles,,,,,,True
