vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical,department_prefill,category_prefill,description_prefill,suggestion_prefill,rule_id,needs_llm
Crowe Horwath Revizija D.O.O.,4062.0,crowe horwath revizija d.o.o.,crowe horwath revizija,Finance,Audit/Tax,Audit tax and financial advisory services,Consolidate,R009,False
Puducherry Backwater Resort Private Limited,4056.0,puducherry backwater resort private limited,puducherry backwater resort private,,,,,,True
Orionw Llc,4025.0,orionw llc,orionw,,,,,,True
Adobe Systems Software,3929.0,adobe systems software,adobe systems software,Marketing,Product/Design,Creative design and marketing software,Optimize costs,R016,False
"Common Desk, Llc",3842.0,"common desk, llc",common desk,Facilities,Coworking/Office,Flexible coworking and office space,Optimize costs,R007,False
Hep Elektra D.O.O.,3735.0,hep elektra d.o.o.,hep elektra,,,,,,True
Zivi Napitak D.O.O.,3700.0,zivi napitak d.o.o.,zivi napitak,,,,,,True
Gym4You D.O.O.,3692.0,gym4you d.o.o.,gym4you,,,,,,True
Aha! Labs Inc,3689.0,aha labs inc,aha labs,,,,,,True
Apple Retail Uk Ltd,3548.0,apple retail uk ltd,apple retail uk,IT,General Ops,Hardware and device purchases,Optimize costs,R034,False
"Kryterion, Inc.",3541.0,"kryterion, inc.",kryterion,,,,,,True
Npm Inc,3535.0,npm inc,npm,,,,,,True
Pinsent Masons Mpillay Llp,4078.0,pinsent masons mpillay llp,pinsent masons mpillay,,,,,,True
Calm Achiever(A Unit Of Mohsin Ali Vakil),4071.0,calm achiever(a unit of mohsin ali vakil),calm achiever,,,,,,True
Pluxee India Private Limited,3994.0,pluxee india private limited,pluxee india private,,,,,,True
Oâ€™Donnell Salzano Lawyers,3955.0,o donnell salzano lawyers,o donnell salzano lawyers,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Papertrail Inc,3900.0,papertrail inc,papertrail,,,,,,True
Sniper Systems And Solutions Private Limited,3899.0,sniper systems and solutions private limited,sniper systems and solutions private,,,,,,True
Trocadero (London) Hotel Ltd,3868.0,trocadero (london) hotel ltd,trocadero hotel,,,,,,True
Semrush Inc,3730.0,semrush inc,semrush,Marketing,Marketing/SEO/PR,SEO and digital marketing analytics,Optimize costs,R019,False
Golubica Parking D.O.O.,3726.0,golubica parking d.o.o.,golubica parking,Facilities,General Ops,Employee parking and facilities services,Optimize costs,R029,False
Vodafone (Australian),3672.0,vodafone (australian),vodafone,IT,Telecom,Telecommunications and mobile services,Consolidate,R008,False
Ikea Hrvatska D.O.O.,3610.0,ikea hrvatska d.o.o.,ikea hrvatska,,,,,,True
Orcola D.O.O.,3545.0,orcola d.o.o.,orcola,,,,,,True
Info Edge India Limited,3536.0,info edge india limited,info edge india,,,,,,True
Grad Split,3483.0,grad split,grad split,,,,,,True
T-Mobile,3357.0,t-mobile,t-mobile,IT,Telecom,Telecommunications and mobile services,Consolidate,R008,False
Akton D.O.O.,3254.0,akton d.o.o.,akton,,,,,,True
Bureau Veritas Croatia D.O.O.,3200.0,bureau veritas croatia d.o.o.,bureau veritas croatia,,,,,,True
Cici Prudential Life Insurance Co. Ltd.,3195.0,cici prudential life insurance co. ltd.,cici prudential life insurance,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Ncc Services Limited,3036.0,ncc services limited,ncc services,,,,,,True
Smartsheet Inc.,2995.0,smartsheet inc.,smartsheet,Operations,Productivity/Collab,Work management and collaboration platform,Consolidate,R023,False
Good Game Global D.O.O.,2954.0,good game global d.o.o.,good game global,,,,,,True
Garaå¾A Firule D.O.O.,2930.0,gara a firule d.o.o.,gara a firule,,,,,,True
Crossland,2924.0,crossland,crossland,,,,,,True
It London,2838.0,it london,it london,,,,,,True
Terrapinn Holdings Ltd,2838.0,terrapinn holdings ltd,terrapinn holdings,,,,,,True
Elemental Life Solutions Llp,2807.0,elemental life solutions llp,elemental life solutions,,,,,,True
United Flow Ltd (The Goodness Project),2744.0,united flow ltd (the goodness project),united flow,,,,,,True
Mcburneys Charted Accountants,2711.0,mcburneys charted accountants,mcburneys charted accountants,,,,,,True
Cleverland Winery Resort,2663.0,cleverland winery resort,cleverland winery resort,,,,,,True
Ag Grid Ltd,2653.0,ag grid ltd,ag grid,,,,,,True
Lusha,2606.0,lusha,lusha,Sales,Sales Engagement,B2B contact data and sales intelligence,Consolidate,R018,False
My Foodiverse Llp,2489.0,my foodiverse llp,my foodiverse,Facilities,General Ops,Employee catering and food services,Optimize costs,R030,False
4Imprint Direct Ltd,2436.0,4imprint direct ltd,4imprint direct,,,,,,True
City Pantry Ltd,2419.0,city pantry ltd,city pantry,,,,,,True
Stipe Piric,2302.0,stipe piric,stipe piric,,,,,,True
Office Move London,2293.0,office move london,office move london,,,,,,True
Pink Ribbon Shop,2251.0,pink ribbon shop,pink ribbon shop,,,,,,True
Starhub Ltd (Supplier),2205.0,starhub ltd (supplier),starhub,IT,Telecom,Telecommunications and mobile services,Consolidate,R008,False
N S Shastri And Co,2194.0,n s shastri and co,n s shastri and,,,,,,True
John Smith,2163.0,john smith,john smith,,,,,,True
Fabiola Thistlewhaite,2154.0,fabiola thistlewhaite,fabiola thistlewhaite,,,,,,True
Hp Inc Uk Limited,2136.0,hp inc uk limited,hp inc uk,,,,,,True
Cision Pr Newswire,2110.0,cision pr newswire,cision pr newswire,Marketing,Marketing/SEO/PR,Press release distribution and media monitoring,Optimize costs,R020,False
George Anchor,2107.0,george anchor,george anchor,,,,,,True
"Yoxel, Inc",2044.0,"yoxel, inc",yoxel,,,,,,True
Grt Hotels And Resorts P Ltd,2032.0,grt hotels and resorts p ltd,grt hotels and resorts p,,,,,,True
Apple Pty Ltd,2031.0,apple pty ltd,apple,IT,General Ops,Hardware and device purchases,Optimize costs,R034,False
Slack Technologies Limited,1989.0,slack technologies limited,slack technologies,IT,Productivity/Collab,Team messaging and collaboration platform,Consolidate,R013,False
G S Notary Public Limited,1935.0,g s notary public limited,g s notary public,,,,,,True
Apple Distribution International Ltd,1913.0,apple distribution international ltd,apple distribution international,IT,General Ops,Hardware and device purchases,Optimize costs,R034,False
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0,porezno savjetni tvo tuk d.o.o.,porezno savjetni tvo tuk,,,,,,True
Susan Lee,1762.0,susan lee,susan lee,,,,,,True
Ansar Madovic,1732.0,ansar madovic,ansar madovic,,,,,,True
"Radius Group, Inc",1723.0,"radius group, inc",radius group,,,,,,True
Aquila Remete D.O.O.,1706.0,aquila remete d.o.o.,aquila remete,,,,,,True
Clime India Private Limited,1678.0,clime india private limited,clime india private,,,,,,True
"Golden Mean, Inc",1659.0,"golden mean, inc",golden mean,,,,,,True
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,paint & fun vl. martina milkova nikolova,paint & fun vl. martina milkova nikolova,,,,,,True
Carrington Communications,1654.0,carrington communications,carrington communications,,,,,,True
Crayond Digital Private Limited,1646.0,crayond digital private limited,crayond digital private,,,,,,True
Studentski Centar Karlovac,1549.0,studentski centar karlovac,studentski centar karlovac,,,,,,True
Lajnap Comedy Booking D.O.O.,1536.0,lajnap comedy booking d.o.o.,lajnap comedy booking,,,,,,True
British Telecommunications,1493.0,british telecommunications,british telecommunications,,,,,,True
Etm Concessions Ltd,1419.0,etm concessions ltd,etm concessions,,,,,,True
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,radisson grt - unit of hotels & resorts pvt ltd,radisson grt - unit of hotels & resorts,,,,,,True
Ariba Inc,1363.0,ariba inc,ariba,,,,,,True
Chamiers Recreation Club,1338.0,chamiers recreation club,chamiers recreation club,,,,,,True
Quadrant Law Llc,1327.0,quadrant law llc,quadrant law,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Docusign,1308.0,docusign,docusign,Operations,Productivity/Collab,Electronic signature and document management,Optimize costs,R024,False
Inside Edge Novated Leasing,1287.0,inside edge novated leasing,inside edge novated leasing,,,,,,True
Rhea D.O.O.,1253.0,rhea d.o.o.,rhea,,,,,,True
P S Recreation Club,1219.0,p s recreation club,p s recreation club,,,,,,True
Fastspring,1179.0,fastspring,fastspring,,,,,,True
Dsv Solutions A/S,1162.0,dsv solutions a s,dsv solutions a s,,,,,,True
Curzon Green Solicitors,1158.0,curzon green solicitors,curzon green solicitors,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Icare Nsw,1150.0,icare nsw,icare nsw,,,,,,True
Thomas Mansfield Solicitors Limited,1135.0,thomas mansfield solicitors limited,thomas mansfield solicitors,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Amazon.Co.Uk,1107.0,amazon.co.uk,amazon.co.uk,,,,,,True
Backoffice Associates,1080.0,backoffice associates,backoffice associates,,,,,,True
Oladi D.O.O.,1064.0,oladi d.o.o.,oladi,,,,,,True
Integrated Personnel Services,1054.0,integrated personnel services,integrated personnel services,,,,,,True
Mãœller Trgovina Zagreb D.O.O.,1051.0,m ller trgovina zagreb d.o.o.,m ller trgovina zagreb,,,,,,True
Lunch Nutrition D.O.O.,1012.0,lunch nutrition d.o.o.,lunch nutrition,,,,,,True
Winmaxi Tours & Travels,1001.0,winmaxi tours & travels,winmaxi tours & travels,,,,,,True
Digitalna Produkcija J.D.O.O.,993.0,digitalna produkcija j.d.o.o.,digitalna produkcija,,,,,,True
Computershare-Caboodle Technology Limited,981.0,computershare-caboodle technology limited,computershare-caboodle technology,,,,,,True
Allianz Wa,971.0,allianz wa,allianz wa,HR,General Ops,Employee health and insurance benefits,Consolidate,R025,False
Trending Technology Services Gmbh,961.0,trending technology services gmbh,trending technology services,,,,,,True
"Godaddy.Com, Llc",923.0,"godaddy.com, llc",godaddy.com,,,,,,True
Time Out Group,920.0,time out group,time out group,,,,,,True
Raiffeisenbank Austria D.D.,920.0,raiffeisenbank austria d.d.,raiffeisenbank austria,,,,,,True
Galop-Prijevoz D.O.O.,908.0,galop-prijevoz d.o.o.,galop-prijevoz,,,,,,True
Lane Ip Limited,851.0,lane ip limited,lane ip,,,,,,True
Urbani Eventi D.O.O.,851.0,urbani eventi d.o.o.,urbani eventi,,,,,,True
Smashing Media Ag,850.0,smashing media ag,smashing media,,,,,,True
Epignosis Llc,833.0,epignosis llc,epignosis,,,,,,True
Croatia Airlines,832.0,croatia airlines,croatia airlines,,,,,,True
Bb Football Scouting J.D.O.O.,823.0,bb football scouting j.d.o.o.,bb football scouting,,,,,,True
Boe Croatia D.O.O.,814.0,boe croatia d.o.o.,boe croatia,,,,,,True
Potomac D.O.O.,806.0,potomac d.o.o.,potomac,,,,,,True
"President Hotel And Tower Co., Ltd",803.0,"president hotel and tower co., ltd",president hotel and tower,,,,,,True
Friends Sports Club,797.0,friends sports club,friends sports club,,,,,,True
The Cycle Gap Adyar,765.0,the cycle gap adyar,the cycle gap adyar,,,,,,True
Apple - Amer,764.0,apple - amer,apple - amer,IT,General Ops,Hardware and device purchases,Optimize costs,R034,False
Klg - Kalra Legal Group,681.0,klg - kalra legal group,klg - kalra legal group,Legal,Legal Services,Legal counsel and advisory services,Consolidate,R010,False
Kilgannon & Partners Llp,681.0,kilgannon & partners llp,kilgannon & partners,,,,,,True
