vendor_name_raw,spend_usd,vendor_name_clean,vendor_name_canonical
Porezno Savjetniå¡Tvo Tuk D.O.O.,1813.0,porezno savjetni tvo tuk d.o.o.,porezno savjetni tvo tuk
Susan Lee,1762.0,susan lee,susan lee
Ansar Madovic,1732.0,ansar madovic,ansar madovic
"Radius Group, Inc",1723.0,"radius group, inc",radius group
Aquila Remete D.O.O.,1706.0,aquila remete d.o.o.,aquila remete
Clime India Private Limited,1678.0,clime india private limited,clime india private
"Golden Mean, Inc",1659.0,"golden mean, inc",golden mean
Paint & Fun Vl. Martina Milkova Nikolova,1654.0,paint & fun vl. martina milkova nikolova,paint & fun vl. martina milkova nikolova
Carrington Communications,1654.0,carrington communications,carrington communications
Crayond Digital Private Limited,1646.0,crayond digital private limited,crayond digital private
Studentski Centar Karlovac,1549.0,studentski centar karlovac,studentski centar karlovac
Lajnap Comedy Booking D.O.O.,1536.0,lajnap comedy booking d.o.o.,lajnap comedy booking
British Telecommunications,1493.0,british telecommunications,british telecommunications
Etm Concessions Ltd,1419.0,etm concessions ltd,etm concessions
Radisson Grt - Unit Of Hotels & Resorts Pvt Ltd,1406.0,radisson grt - unit of hotels & resorts pvt ltd,radisson grt - unit of hotels & resorts
Ariba Inc,1363.0,ariba inc,ariba
Chamiers Recreation Club,1338.0,chamiers recreation club,chamiers recreation club
Quadrant Law Llc,1327.0,quadrant law llc,quadrant law
Docusign,1308.0,docusign,docusign
Inside Edge Novated Leasing,1287.0,inside edge novated leasing,inside edge novated leasing
Rhea D.O.O.,1253.0,rhea d.o.o.,rhea
P S Recreation Club,1219.0,p s recreation club,p s recreation club
Fastspring,1179.0,fastspring,fastspring
Dsv Solutions A/S,1162.0,dsv solutions a s,dsv solutions a s
Curzon Green Solicitors,1158.0,curzon green solicitors,curzon green solicitors
Icare Nsw,1150.0,icare nsw,icare nsw
Thomas Mansfield Solicitors Limited,1135.0,thomas mansfield solicitors limited,thomas mansfield solicitors
Amazon.Co.Uk,1107.0,amazon.co.uk,amazon.co.uk
Backoffice Associates,1080.0,backoffice associates,backoffice associates
Oladi D.O.O.,1064.0,oladi d.o.o.,oladi
Integrated Personnel Services,1054.0,integrated personnel services,integrated personnel services
Mãœller Trgovina Zagreb D.O.O.,1051.0,m ller trgovina zagreb d.o.o.,m ller trgovina zagreb
Lunch Nutrition D.O.O.,1012.0,lunch nutrition d.o.o.,lunch nutrition
Winmaxi Tours & Travels,1001.0,winmaxi tours & travels,winmaxi tours & travels
Digitalna Produkcija J.D.O.O.,993.0,digitalna produkcija j.d.o.o.,digitalna produkcija
